Transacao,leite,café,pão,manteiga,macarrão,queijo,vinho,feijão,arroz,farinha,ovos,açucar
1,0,0,0,0,1,0,1,0,1,0,1,1
2,0,1,1,1,0,1,1,0,1,1,1,1
3,0,0,1,0,0,0,1,0,0,1,1,0
4,0,1,1,0,0,0,0,1,0,1,0,0
5,0,0,1,1,1,1,1,1,0,1,0,0
6,1,1,1,0,0,1,0,1,1,0,0,1
7,0,0,1,1,0,1,1,1,1,0,0,1
8,1,1,0,1,0,0,1,0,0,1,0,1
9,1,0,0,1,1,1,1,0,0,1,0,0
10,1,1,0,0,0,1,0,0,1,0,0,1
11,0,0,0,0,1,1,1,1,1,0,1,0
12,1,0,1,0,1,1,0,0,0,1,0,0
13,0,1,0,1,0,1,0,0,1,1,0,1
14,0,0,0,1,1,0,1,0,1,0,1,1
15,1,0,1,0,1,1,0,1,0,0,0,1
16,0,0,0,0,1,0,0,0,1,0,1,1
17,0,0,1,1,0,1,1,0,1,1,0,0
18,1,0,1,0,0,1,1,1,0,1,0,1
19,1,1,1,1,1,1,1,0,0,1,0,0
20,0,0,1,1,0,0,0,1,0,0,1,0
21,0,0,0,0,1,1,0,1,1,1,1,0
22,1,1,0,1,0,0,0,1,1,0,1,0
23,1,0,1,1,1,0,1,0,0,1,1,0
24,0,0,1,1,1,0,0,0,0,0,1,1
25,1,1,1,1,0,0,1,0,1,0,0,0
26,1,1,0,1,1,0,1,0,0,1,1,0
27,0,0,1,1,0,0,0,1,1,0,1,1
28,1,0,0,0,0,0,1,0,1,0,0,1
29,0,1,1,1,1,1,1,0,1,1,0,1
30,0,0,0,1,1,1,1,1,1,0,1,1
31,0,0,1,1,1,1,1,1,1,1,1,1
32,0,0,1,0,1,1,1,1,0,1,0,0
33,0,0,1,1,1,0,1,0,1,1,0,0
34,0,0,0,0,0,0,0,1,0,1,0,1
35,1,1,1,1,0,0,0,0,0,1,1,0
36,1,0,0,0,0,1,0,1,0,1,1,0
37,0,0,0,1,0,0,1,1,0,1,0,1
38,0,0,1,0,1,0,0,0,0,0,1,0
39,1,0,1,0,0,1,1,1,1,0,1,1
40,0,1,0,1,1,0,0,1,1,0,1,1
41,1,0,0,0,1,0,1,0,1,1,0,1
42,0,1,0,0,1,0,1,1,0,0,1,0
43,1,1,0,1,1,0,0,1,0,0,0,0
44,1,0,1,1,0,1,1,1,0,0,1,1
45,1,1,0,1,1,1,1,0,0,1,1,0
46,0,0,1,0,0,0,1,1,1,1,1,0
47,0,1,1,1,0,0,0,1,0,1,0,0
48,1,1,1,0,0,0,1,1,0,1,1,1
49,0,1,1,0,0,0,1,0,0,1,0,1
50,0,0,0,1,0,0,1,0,0,0,0,1
